,Type,Transfer,Retention,Survey_Q1,Survey_Q2,Survey_Q3,Survey_Q4,Survey_Q5,Survey_Q6,Survey_Q7,Survey_Q8,Survey_Q9,Survey_Q10,Survey_Q11,Survey_Q12,Survey_Q13,Survey_Q14,Survey_Q15,Survey_Q16,Group,Engagement,Video_Speed,Info_Delivery,Level_Of_Interest,Video_Composition
0,Student,0.2537856800033236,0.5748682180419586,0.770955931735539,0.7667425565813246,0.7447631284207873,0.7293728026407001,0.8373730405140821,0.8439008437417914,0.7464825025015936,0.789464888265284,0.7240902542187317,0.7294778771417678,0.7094179002002136,0.8055643297509243,0.7431550950182785,0.813559546046982,0.7478582920402549,0.7625308083072395,1,0.7774579232742586,0.755752842501056,0.7925387038298183,0.7759978482862617,0.7265352816447479
1,Student,0.4843117358566647,0.6314862794826005,0.8480006973848955,0.7356764289878474,0.8645710274540394,0.7808724900325861,0.782221504138258,0.8234026134701906,0.8033385520646402,0.8951524206489501,0.7723347647917782,0.796310097098109,0.7513366253840987,0.8053992319817895,0.753534582220333,0.7613705833875131,0.8306283091081345,0.8344388724334157,1,0.8133331966268477,0.8001237282209434,0.7990468783374929,0.8647956465411829,0.7683790173735797
2,Student,0.527733469203008,0.5416183904007537,0.827620258762044,0.7470040866625918,0.8286129862500964,0.8061090248658717,0.774735027084099,0.8009792527376917,0.7408368356866356,0.9395858064813606,0.8989519790110738,0.7648071406991617,0.7648065547361128,0.7904625146511717,0.7532449695898328,0.8800816539316587,0.7963356559808783,0.8811655086668653,1,0.8346791895581936,0.7878085364563441,0.782624531005094,0.9103756575741129,0.7954526610090453
3,Student,0.5065793260800069,0.5918382162043495,0.8513267367697994,0.8669670259539158,0.7360873980819385,0.7722851801270065,0.7454953073438342,0.8129369718438376,0.8174718061630208,0.7581401663239661,0.6560446347245608,0.774689168721417,0.8370834152673068,0.7680350267577868,0.8117468171837372,0.8175863176742981,0.7650635801036783,0.7883839220131349,1,0.8113255448492586,0.8015272120179271,0.7832448584470971,0.7732620441685505,0.7698910089742554
4,Student,0.40134005241416615,0.6036764622683153,0.826841003345966,0.7919559530177299,0.7669205396530043,0.8751684469829072,0.7689381853589002,0.716468683920001,0.8689595497375142,0.7408500337579972,0.8261244333825994,0.7069519466119338,0.8225152503004985,0.7337901479062737,0.7949789833614179,0.6822459355057199,0.7030677541058823,0.7799704262030147,1,0.7373848976525227,0.7794382463353671,0.7926650027811194,0.760410229980506,0.7876426534141124
5,Student,0.43591089019582363,0.5222510883613658,0.7725056049878771,0.8552354734140015,0.7915637647010361,0.6982214616787146,0.7766865243403323,0.8247664582415942,0.8343701756323391,0.7873954308408463,0.9010711378098499,0.8152443707646565,0.7966045416383681,0.830559570721741,0.71388949939588,0.7711431791725976,0.8526667492169075,0.7998739728450073,1,0.7987718444591274,0.8233996190575188,0.7929208381229442,0.7936347018429268,0.8067023874021886
6,Student,0.26882298339223487,0.6326634778289382,0.8394775931379067,0.8486540722895013,0.7187317247084358,0.8195911023470495,0.8437069838611956,0.7512034153498661,0.835718926283499,0.865284052426006,0.7654844927259115,0.7538714858603051,0.8443900246227194,0.8443809725692285,0.8117763448550687,0.7908960309340042,0.7883072098076315,0.7698461903270973,1,0.8062269446265141,0.7836928984989686,0.8189202800821678,0.8175651213765517,0.7938805870160012
7,Student,0.5144370752933696,0.6071369582076175,0.8429897470224346,0.7894716607106672,0.8343769989688415,0.8369317156024265,0.7920748957505731,0.8262595848256656,0.7669142602327753,0.7194110373076359,0.8291523625396057,0.7731143735570429,0.7709693307778074,0.8200501181499177,0.7677156814128409,0.6957792241103311,0.7479619108273577,0.7343059669422849,1,0.7622436273200411,0.8119243298397544,0.8084461149122717,0.7268585021249604,0.7852379370718242
8,Student,0.21163871662847855,0.647705196719084,0.7600463595634326,0.8118796327578068,0.8138333254303562,0.794813579847893,0.7995005389037805,0.9439373918535091,0.8092263023702952,0.7245714250597453,0.801854121291976,0.7152844378553578,0.8189538764807176,0.7347491543291185,0.824307806192876,0.7697118241982799,0.8544716222778921,0.9014524659181875,1,0.7947432686798681,0.8128564790940815,0.8164453934609194,0.8130119454889664,0.790100060455232
9,Student,0.5876000839228788,0.5418975001552276,0.850349044747146,0.7517264455137637,0.8800174486031107,0.8587643756401216,0.7477132100330337,0.7792689045959198,0.7874561709938653,0.80455426154046,0.8331666292063548,0.7743660809069509,0.7717870735626465,0.8340832204982404,0.7871499673534761,0.7487551420646538,0.8427381889153016,0.7983053404363859,1,0.8139474585757004,0.8158719470584372,0.8014571763522362,0.8014298009884229,0.791617437757357
